# time C ID fromHost toHost size ttl
9344.6000 C floating436-9345-107  p107 V0 30723 2147483647
9392.2000 C floating437-9392-78  w78 V0 16802 2147483647
9395.9000 C floating438-9396-44  w44 V0 28848 2147483647
9403.5000 C floating439-9404-16  c16 V0 17184 2147483647
9468.2000 C floating440-9468-25  c25 V0 1936 2147483647
9519.2000 C floating441-9519-94  p94 V0 7893 2147483647
9538.6000 C floating442-9539-81  t81 V0 8098 2147483647
9542.2000 C floating443-9542-118  p118 V0 11894 2147483647
9551.9000 C floating444-9552-124  p124 V0 48489 2147483647
9584.0000 C floating445-9584-103  p103 V0 36387 2147483647
9593.7000 C floating446-9594-85  t85 V0 12962 2147483647
9615.5000 C floating447-9616-87  p87 V0 11226 2147483647
9648.4000 C floating448-9648-28  c28 V0 20452 2147483647
9673.7000 C floating449-9674-9  c9 V0 24677 2147483647
9713.3000 C floating450-9713-37  c37 V0 33449 2147483647
9719.1000 C floating451-9719-7  c7 V0 28840 2147483647
9748.2000 C floating452-9748-102  p102 V0 21643 2147483647
9806.0000 C floating453-9806-35  c35 V0 46586 2147483647
9830.2000 C floating454-9830-36  c36 V0 39036 2147483647
9837.8000 C floating455-9838-8  c8 V0 49063 2147483647
9865.3000 C floating456-9865-111  p111 V0 6603 2147483647
9871.5000 C floating457-9872-20  c20 V0 22131 2147483647
9880.9000 C floating458-9881-26  c26 V0 3921 2147483647
9898.8000 C floating459-9899-51  w51 V0 23366 2147483647
9902.6000 C floating460-9903-17  c17 V0 18742 2147483647
9912.5000 C floating461-9913-10  c10 V0 35309 2147483647
9921.3000 C floating462-9921-80  w80 V0 7444 2147483647
9953.6000 C floating463-9954-86  t86 V0 42397 2147483647
9974.3000 C floating464-9974-106  p106 V0 48370 2147483647
9977.2000 C floating465-9977-19  c19 V0 34072 2147483647
